time	cp
3190	9.59055
3192	9.59087
3194	9.59096
3196	9.59188
3198	9.59114
3200	9.59038
3202	9.59005
3204	9.59054
3206	9.59086
3208	9.59089
3210	9.59116
3212	9.59061
3214	9.59031
3216	9.59013
3218	9.59135
3220	9.59207
3222	9.59093
3224	9.59093
3226	9.59129
3228	9.59186
3230	9.59161
3232	9.59149
3234	9.59137
3236	9.5919
3238	9.592
3240	9.59254
3242	9.5925
3244	9.59185
3246	9.59094
3248	9.58791
3250	9.58344
3252	9.5806
3254	9.57728
3256	9.57329
3258	9.56848
3260	9.56381
3262	9.55904
3264	9.55523
3266	9.55303
3268	9.55321
3270	9.55297
3272	9.55127
3274	9.54956
3276	9.55017
3278	9.55222
3280	9.55543
3282	9.55956
3284	9.56251
3286	9.56568
3288	9.56843
3290	9.57138
3292	9.57367
3294	9.57542
3296	9.5772
3298	9.57871
3300	9.5807
3302	9.5818
3304	9.58228
3306	9.58405
3308	9.58419
3310	9.58402
3312	9.58535
3314	9.58596
3316	9.5862
3318	9.58779
3320	9.58877
3322	9.58863
3324	9.58873
3326	9.58908
3328	9.59047
3330	9.59075
3332	9.59114
3334	9.592
3336	9.59206
3338	9.59144
3340	9.59137
3342	9.59154
3344	9.59206
3346	9.59189
3348	9.59196
3350	9.59292
3352	9.59298
3354	9.59318
3356	9.59326
3358	9.59318
3360	9.59261
3362	9.59198
3364	9.59257
3366	9.59292
3368	9.59268
3370	9.59253
3372	9.59283
3374	9.59186
3376	9.59223
3378	9.593
3380	9.59348
3382	9.59276
3384	9.59299
3386	9.59313
3388	9.59315
3390	9.59323
3392	9.59334
3394	9.59361
3396	9.59378
3398	9.59381
3400	9.59513
3402	9.59544
3404	9.59454
3406	9.59476
3408	9.59528
3410	9.59573
3412	9.59517
3414	9.59437
3416	9.59483
3418	9.59512
3420	9.59484
3422	9.59522
3424	9.59509
3426	9.59533
3428	9.59573
3430	9.596
3432	9.59621
3434	9.59558
3436	9.59545
3438	9.59536
3440	9.59534
3442	9.5963
3444	9.59613
3446	9.59551
3448	9.5955
